73;SK0108507938;Ivanka pri Dunaji;Ivanka pri Dunaji;Ivanka pri Dunaji;507938
74;SK0108507997;Kalinkovo;Kalinkovo;Kalinkovo;507997
75;SK0108508071;Malinovo;Malinovo;Malinovo;508071
76;SK0108508098;Miloslavov;Miloslavov;Miloslavov;508098
77;SK0108508110;Most pri Bratislave;Most pri Bratislave;Most pri Bratislave;508110
78;SK0108508136;Nová Dedinka;Nová Dedinka;Nová Dedinka;508136
79;SK0108508209;Rovinka;Rovinka;Rovinka;508209
80;SK0108508217;Senec;Senec;Senec;508217
81;SK0108508276;Tomášov;Tomášov;Tomášov;508276
82;SK0108508284;Tureň;Tureň;Tureň;508284
83;SK0108508292;Veľký Biel;Veľký Biel;Veľký Biel;508292
84;SK0108508331;Vlky;Vlky;Vlky;508331
85;SK0108545333;Dunajská Lužná;Dunajská Lužná;Dunajská Lužná;545333
86;SK0108555487;Igram;Igram;Igram;555487
87;SK0108555495;Kaplna;Kaplna;Kaplna;555495
88;SK0108555509;Zálesie;Zálesie;Zálesie;555509
89;SK0108582549;Nový Svet;Nový Svet;Nový Svet;582549
90;SK0211501433;Dunajská Streda;Dunajská Streda;Dunajská Streda;501433
91;SK0211501441;Báč;Báč;Báč;501441
92;SK0211501450;Baka;Baka;Baka;501450
93;SK0211501468;Baloň;Baloň;Baloň;501468
94;SK0211501484;Blahová;Blahová;Blahová;501484
95;SK0211501492;Blatná na Ostrove;Blatná na Ostrove;Blatná na Ostrove;501492
96;SK0211501506;Boheľov;Boheľov;Boheľov;501506
97;SK0211501514;Čakany;Čakany;Čakany;501514
98;SK0211501522;Veľký Meder;Veľký Meder;Veľký Meder;501522
99;SK0211501531;Čiližská Radvaň;Čiližská Radvaň;Čiližská Radvaň;501531
100;SK0211501549;Dobrohošť;Dobrohošť;Dobrohošť;501549
101;SK0211501557;Dolný Bar;Dolný Bar;Dolný Bar;501557
102;SK0211501573;Gabčíkovo;Gabčíkovo;Gabčíkovo;501573
103;SK0211501581;Holice;Holice;Holice;501581
104;SK0211501590;Horná Potôň;Horná Potôň;Horná Potôň;501590
105;SK0211501603;Horný Bar;Horný Bar;Horný Bar;501603
106;SK0211501611;Dolný Štál;Dolný Štál;Dolný Štál;501611
107;SK0211501620;Hubice;Hubice;Hubice;501620
108;SK0211501638;Hviezdoslavov;Hviezdoslavov;Hviezdoslavov;501638
